"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic","model"
"model2",0,0,-409.12855069617,14.579922964772,28.0267721590654,2.82072964825437,818.25710139234,29.1598459295439,"all_int"
"model6",-0.458803196892434,0.53626989565147,-409.587353893063,14.7354455103147,28.0772464288586,2.99971510353338,819.174707786125,29.4708910206295,"angler_date"
"model1",-0.725232701337253,0.524729376412313,-409.853783397507,14.645272430115,29.4005773014273,2.8761852881371,819.707566795015,29.2905448602299,"vary_slope"
"model7",-21.3847833821774,4.62314584882493,-430.513334078348,16.3467364096922,20.3330362269157,3.05601435264176,861.026668156695,32.6934728193844,"angler_lake"
"model3",-23.1843571704263,5.12494749193633,-432.312907866597,16.8399579151109,20.5820776275954,3.63797128669599,864.625815733193,33.6799158302218,"angler_only"
"model8",-25.5585734521958,4.98920430806734,-434.687124148366,14.9508525360045,25.2132467773098,2.85846888568155,869.374248296732,29.9017050720089,"date_lake"
"model4",-25.9054747941218,5.00911897170609,-435.034025490292,15.0227450121162,25.267011657594,2.95216406818898,870.068050980584,30.0454900242324,"date_only"
"model5",-45.4623283914314,6.2630150104292,-454.590879087602,16.0309095350196,10.3921584579367,1.45340756217374,909.181758175204,32.0618190700392,"lake_only"
"model9",-118.215881238921,11.9694646222568,-527.344431935091,23.2725081005748,1.04609549939462,0.1653885363072,1054.68886387018,46.5450162011496,"null"
