"","lakeName","L","WBIC","lat","long","surfaceArea","nAnglingObs","nAnglingDates","nAnglers","totalCaught","totalRecaptured","nSampleEvents","sumCtMt"
"1","Arrowhead",1,"1541500","45.9063386","-89.6902355",38.8,"9","3","4",231,11,6,19434
"2","Bay",2,NA,"46.2422897","-89.49544206",67.33,"5","2","4",205,8,4,13001
"3","Found",3,"1593800","45.9505119","-89.4531966",136,"15","4","9",138,6,8,7675
"4","Hunter",4,"991700","46.003537","-89.3220986",70.8,"12","3","6",160,1,9,10772
"5","Johnson",5,"1541100","45.8997418","-89.7206242",34.4,"27","6","15",223,17,9,18658
"6","Little Crooked",6,"2335500","46.1508532","-89.6951094",62,"9","3","6",67,2,8,1801
"7","Lake of the Hills",7,"1620500","45.9839078","-89.2447399",24.6,"11","3","5",67,6,6,1370
"8","Little Spider",8,"1540400","45.9711465","-89.7084172",90.2,"11","4","6",122,5,6,4611
"9","Lost",9,"1593400","45.9655406","-89.4831158",218.1,"37","6","10",65,1,6,1673
"10","Towanda",10,"1022900","45.9385442","-89.7077093",56.3,"21","4","10",210,11,9,18306
"11","White Birch",11,"2340500","46.06343","-89.5228689",45.7,"24","4","9",161,1,5,9352
"12","Wildcat",12,"2336800","46.1729139","-89.6169457",118.6,"9","3","4",73,3,9,2159
"13","Wabasso",13,"2045000","45.9748566","-90.002212",21,"15","6","6",86,3,7,2654
